fecha,estepa,pino,mes,delta
2020-01-01,36.28063931297713,30.976251290877833,1,5.304388022099296
2020-01-09,33.10719465648858,26.849177280550812,1,6.258017375937769
2020-01-17,40.12659669211199,33.92478829604135,1,6.201808396070639
2020-01-25,34.90434796437661,28.310402753872665,1,6.593945210503946
2020-02-02,34.40069338422394,27.574299483648915,2,6.826393900575027
2020-02-10,30.593727735368986,25.033514629948403,2,5.5602131054205834
2020-02-18,31.54195610687026,25.95597934595528,2,5.585976760914978
2020-02-26,36.649758269720124,31.03708777969022,2,5.6126704900299025
2020-03-05,30.742659033078912,25.520392426850293,3,5.222266606228619
2020-03-13,28.569933206106903,23.15381411359728,3,5.416119092509621
2020-03-21,26.16355597964379,22.761611015490566,3,3.4019449641532233
2020-03-29,24.942849872773564,19.995776247848568,3,4.947073624924997
2020-04-06,22.95680343511454,18.315986230636867,4,4.640817204477674
2020-04-14,16.752584758853583,14.033126814909796,4,2.7194579439437874
2020-04-22,15.613428753180695,13.183432013769393,4,2.429996739411303
2020-04-30,15.99475190839698,12.581480206540485,4,3.4132717018564946
2020-05-08,8.35180025445296,6.660394938763891,5,1.69140531568907
2020-05-16,9.709891141654175,8.557053356282303,5,1.1528377853718723
2020-05-24,11.33934160305347,10.102777969018955,5,1.236563634034514
2020-06-01,6.6091030534351365,5.183142857142892,6,1.4259601962922446
2020-06-09,2.536437659033108,2.139533238131955,6,0.39690442090115274
2020-06-17,1.540281277514599,0.8214436294008878,6,0.7188376481137113
2020-06-25,1.0465233853967673,0.6274189631336267,6,0.4191044222631406
2020-07-03,-1.1758110687022667,-1.9092943201376666,7,0.7334832514353999
2020-07-11,-0.39303025969901706,-0.610757446224586,7,0.217727186525569
2020-07-19,-2.068399688763521,-1.588230636833023,7,-0.4801690519304982
2020-07-27,2.711081424936413,2.1275008605852257,7,0.5835805643511871
2020-08-04,4.246166914097923,2.5477969323565084,8,1.6983699817414148
2020-08-12,4.0999872773537165,2.229177280550806,8,1.8708099968029104
2020-08-20,10.13321882951657,9.11092598967301,8,1.0222928398435602
2020-08-28,10.462515903307914,7.935215146299515,8,2.5273007570083985
2020-09-05,11.957420483460591,9.54269191049917,9,2.4147285729614207
2020-09-13,16.496256361323184,12.391748709122236,9,4.104507652200947
2020-09-21,22.040709287531836,16.935428571428602,9,5.105280716103234
2020-09-29,18.54992366412216,13.371714285714319,9,5.178209378407843
2020-10-07,25.96140585241733,20.951129087779723,10,5.010276764637606
2020-10-15,30.15775127226466,24.496065404475075,10,5.661685867789586
2020-10-23,28.92262086513997,22.470289156626535,10,6.452331708513434
2020-10-31,34.47560750636135,27.089521514629993,10,7.386085991731356
2020-11-08,31.90611323155219,25.03753528399315,11,6.868577947559039
2020-11-16,33.028187022900795,26.944230636833083,11,6.083956386067712
2020-11-24,30.785187659033106,24.778020654044788,11,6.007167004988318
2020-12-02,35.75736005089061,29.034574870912255,12,6.722785179978356
2020-12-10,32.26501908396949,24.84805851979349,12,7.4169605641760015
2020-12-18,35.39689885496185,28.451111876075764,12,6.945786978886083
2020-12-26,36.11192430025448,30.42535972461277,12,5.686564575641711
2021-01-01,37.94945928753184,30.923256454389005,1,7.026202833142833
2021-01-09,30.826269083969493,23.95091910499142,1,6.875349978978072
2021-01-17,42.32827608142497,34.996113597246165,1,7.332162484178802
2021-01-25,36.56360903722933,29.221848465734688,1,7.341760571494639
2021-02-02,37.60181297709927,32.32219277108438,2,5.27962020601489
2021-02-10,33.970470737913516,28.74493631669538,2,5.225534421218136
2021-02-18,33.28187022900765,27.250884681583507,2,6.0309855474241445
2021-02-26,35.63918256997459,29.944981067125674,2,5.694201502848912
2021-03-06,32.62886450381682,28.896051635111906,3,3.732812868704915
2021-03-14,29.730998727735397,26.988323580034457,3,2.7426751477009397
2021-03-22,29.184576972010206,25.970991394148054,3,3.213585577862151
2021-03-30,28.602340966921147,24.99882960413084,3,3.6035113627903073
2021-04-07,23.440149491094175,20.20268502581759,4,3.2374644652765845
2021-04-15,21.08661577608145,18.101652323580062,4,2.9849634525013897
2021-04-23,20.071743002544558,16.77218588640278,4,3.299557116141777
2021-05-01,11.655928753180683,9.962461273666122,5,1.6934674795145614
2021-05-09,13.627270992366444,11.536757314974214,5,2.090513677392231
2021-05-17,8.365260814249392,7.563318416523265,5,0.8019423977261271
2021-05-25,7.779144192178768,6.6474313775967815,5,1.1317128145819861
2021-06-02,3.6552649959956858,2.4310479425499514,6,1.2242170534457344
2021-06-10,4.205680661577638,3.031466437177312,6,1.174214224400326
2021-06-18,4.06667302798985,2.917339070568012,6,1.1493339574218382
2021-06-26,4.7457226609529,3.613301204819307,6,1.132421456133593
2021-07-04,6.8442620865140205,5.961036144578342,7,0.8832259419356783
2021-07-12,3.4512754452926457,3.423442340791761,7,0.02783310450088461
2021-07-20,7.202070610687052,5.611077452667844,7,1.5909931580192076
2021-07-28,12.029583333333367,10.403796901893319,7,1.6257864314400479
2021-08-05,11.847474554707407,9.44336660929435,8,2.404107945413058
2021-08-13,10.672608142493667,8.033910499139447,8,2.63869764335422
2021-08-21,0.8954419691709998,-0.2553676712295807,8,1.1508096404005805
2021-08-29,11.937185114503846,10.156440619621373,8,1.780744494882473
2021-09-06,13.968959923664153,10.849531841652357,9,3.1194280820117957
2021-09-14,18.04625954198476,15.387817555938073,9,2.6584419860466877
2021-09-22,22.54553117048349,19.623139414802097,9,2.9223917556813923
2021-09-30,21.282843511450405,17.565046471600716,9,3.717797039849689
2021-10-08,29.088396946564913,25.436960413080932,10,3.651436533483981
2021-10-16,29.1580438931298,25.542271944922575,10,3.6157719482072253
2021-10-24,32.415559796437684,28.945466437177316,10,3.4700933592603675
2021-11-01,31.491071882951683,28.27861617900176,11,3.2124557039499244
2021-11-09,27.811418575063634,23.510578313253035,11,4.300840261810599
2021-11-17,36.209376590330805,32.29069879518076,11,3.918677795150046
2021-11-25,33.862865776081456,30.374826161790047,11,3.4880396142914094
2021-12-03,40.32228371501276,36.575366609294356,12,3.7469171057184028
2021-12-11,37.59928117048349,34.06067125645443,12,3.5386099140290668
2021-12-19,42.626237277353724,38.302323580034454,12,4.32391369731927
2021-12-27,37.56021946564888,35.21209294320141,12,2.3481265224474654
2022-01-01,37.33162213740461,33.93340447504306,1,3.398217662361546
2022-01-09,38.77513994910944,35.10108777969023,1,3.6740521694192054
2022-01-17,31.704427480916056,27.453480206540476,1,4.25094727437558
2022-01-25,37.84992684478375,32.899500860585235,1,4.950425984198517
2022-02-02,37.395664758269746,32.885476764199694,2,4.510187994070051
2022-02-10,37.451364503816826,32.649917383821034,2,4.801447119995792
2022-02-18,34.04336195928756,28.5459690189329,2,5.497392940354658
2022-02-26,26.138040712468225,22.38888123924273,2,3.7491594732254967
2022-03-06,28.30689567430028,23.77573838209986,3,4.531157292200419
2022-03-14,29.180241730279928,24.927122203098143,3,4.253119527181784
2022-03-22,23.22951017811707,19.4078072289157,3,3.82170294920137
2022-03-30,19.67543893129774,15.727710843373526,3,3.947728087924215
2022-04-07,15.829605597964408,12.988478485370086,4,2.8411271125943216
2022-04-15,15.700099878453319,13.54004130808953,4,2.1600585703637893
2022-04-23,7.396351018884301,5.738095751638944,4,1.658255267245357
2022-05-01,12.146350588482814,9.742840542623693,5,2.4035100458591216
2022-05-09,10.919249363867713,9.042485370051667,5,1.8767639938160467
2022-05-17,8.26299300254456,6.864278829604162,5,1.398714172940398
2022-05-25,2.2400909310104513,0.7669273016552435,5,1.473163629355208
2022-06-02,4.399783495376272,3.583280727578685,6,0.8165027677975867
2022-06-10,5.123376749060208,4.5437582794948215,6,0.5796184695653865
2022-06-18,-0.0932750692091836,0.301508493601769,6,-0.3947835628109526
2022-06-26,-0.07932888040709685,-0.45207573149739255,6,0.3727468510902957
2022-07-04,-1.9786768447836862,-1.7556660929431749,7,-0.22301075184051133
2022-07-12,-1.7904961832060764,-1.9911027158664536,7,0.2006065326603772
2022-07-20,0.011077390954918748,2.077028104440352,7,-2.065950713485433
2022-07-28,2.7180407124682215,2.33701549053359,7,0.38102522193463173
2022-08-05,3.113013893646893,2.0721245449858867,8,1.0408893486610062
2022-08-13,3.7882283715012983,2.130551025967251,8,1.6576773455340472
2022-08-21,7.768260178117078,7.042309810671285,8,0.725950367445793
2022-08-29,13.726093904629579,11.190330464716036,8,2.535763439913543
2022-09-06,14.869274809160332,11.565521514629975,9,3.303753294530358
2022-09-14,10.867689265615926,8.773008124118402,9,2.0946811414975244
2022-09-22,19.81720737913489,15.914640275387297,9,3.9025671037475913
2022-09-30,22.013365139949137,18.792870912220344,9,3.2204942277287927
2022-10-08,19.544341603053464,16.201029259896757,10,3.3433123431567076
2022-10-16,28.26805343511453,24.70375559380382,10,3.5642978413107116
2022-10-24,22.652716284987306,19.147641996557688,10,3.5050742884296184
2022-11-01,34.44008587786263,30.356867469879546,11,4.083218407983082
2022-11-09,28.731132315521656,25.025015490533594,11,3.7061168249880616
2022-11-17,32.813492366412234,28.045869191049945,11,4.767623175362289
2022-11-25,35.90513994910944,31.168079173838244,11,4.737060775271196
2022-12-03,30.895054071246847,25.704746987951832,12,5.190307083295014
2022-12-11,33.84326017811707,28.80311876075735,12,5.04014141735972
2022-12-19,35.32671755725194,30.35976592082619,12,4.9669516364257476
2022-12-27,37.192388676844814,31.89696041308093,12,5.295428263763885
2023-01-01,38.971879770992395,34.105611015490574,1,4.866268755501821
2023-01-09,36.524437022900784,30.919604130808985,1,5.6048328920918
2023-01-17,37.29799618320613,32.75791049913944,1,4.540085684066689
2023-01-25,37.12705152671758,32.40114285714289,1,4.725908669574693
2023-02-02,40.14538486005091,34.995638554216896,2,5.1497463058340145
2023-02-10,31.062127862595442,26.925944922547373,2,4.136182940048069
2023-02-18,33.16541348600512,28.607635111876114,2,4.557778374129008
