system:index,LST_Day,LST_Night,especie,fecha,satelite,.geo
1_1_1_2020_10_31,28.981848537005206,5.991087779690218,pino,2020-10-31,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2020_11_08,26.58843717728059,6.110440619621376,pino,2020-11-08,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2020_11_16,28.01109466437181,6.87923924268505,pino,2020-11-16,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2020_11_24,25.934895008605885,4.211266781411389,pino,2020-11-24,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2020_12_02,31.71762134251295,6.850963855421724,pino,2020-12-02,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2020_12_10,26.68750086058523,3.908643717728087,pino,2020-12-10,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2020_12_18,30.685311531841684,6.45422719449229,pino,2020-12-18,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2020_12_26,34.64060929432017,8.417256454389012,pino,2020-12-26,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2021_01_01,33.49723580034425,9.090950086058552,pino,2021-01-01,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2021_01_09,27.52798967297765,4.671762478485395,pino,2021-01-09,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2021_01_17,38.266000000000034,12.120278829604162,pino,2021-01-17,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2021_01_25,32.45229634381018,7.242275387263363,pino,2021-01-25,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2021_02_02,35.97594836488817,12.223177280550804,pino,2021-02-02,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2021_02_10,31.72614457831328,11.462502581755626,pino,2021-02-10,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2021_02_18,31.219982788296075,7.6640309810671665,pino,2021-02-18,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2021_02_26,33.188017211703986,12.559893287435488,pino,2021-02-26,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2021_03_06,32.67563166953532,8.841339070568015,pino,2021-03-06,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2021_03_14,30.54306712564547,6.533717728055109,pino,2021-03-14,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2021_03_22,29.07512220309814,5.911831325301236,pino,2021-03-22,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2021_03_30,27.80974526678144,7.394502581755623,pino,2021-03-30,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2021_04_07,22.700409638554255,4.53860585197938,pino,2021-04-07,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2021_04_15,20.833352839931177,4.908299483648908,pino,2021-04-15,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2021_04_23,20.14653012048196,2.6642788296041604,pino,2021-04-23,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2021_05_01,12.991734939759064,-0.025304647160042545,pino,2021-05-01,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2021_05_09,14.35298795180726,-0.03761445783129278,pino,2021-05-09,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2021_05_17,10.078826161790044,0.7928433734940001,pino,2021-05-17,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2021_05_25,7.693978073610052,1.977228915662675,pino,2021-05-25,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2021_06_02,1.9766514806378443,0.41665748709124983,pino,2021-06-02,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2021_06_10,4.676808950086084,-2.76219848380425,pino,2021-06-10,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2021_06_18,4.785869191049939,-2.2486412593205967,pino,2021-06-18,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2021_06_26,5.303714285714314,-2.4309913941479926,pino,2021-06-26,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2021_07_04,7.153855421686772,-0.06572461273663435,pino,2021-07-04,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2021_07_12,5.790502581755617,-2.967686746987929,pino,2021-07-12,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2021_07_20,7.754598967297798,-1.3484230055658422,pino,2021-07-20,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2021_07_28,13.701938037865784,0.21846127366612023,pino,2021-07-28,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2021_08_05,12.566750430292629,-2.5896419965576363,pino,2021-08-05,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2021_08_13,11.78315662650606,-0.7469845094664092,pino,2021-08-13,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_2021_08_21,2.0436915077989912,-6.222543889845071,pino,2021-08-21,Aqua,"{""type"":""MultiPoint"",""coordinates"":[]}"
