fecha,estepa,pino,mes,delta
2020-01-01,12.923965918628385,14.703903956485313,1,-1.7799380378569278
2020-01-02,12.885076335877892,13.202791738382128,1,-0.3177154025042359
2020-01-03,12.97309796437662,13.577899964911142,1,-0.6048020005345212
2020-01-04,12.445712468193411,12.293339645837907,1,0.1523728223555043
2020-01-05,5.412971496582031,7.932499139414831,1,-2.5195276428327995
2020-01-06,4.451457977294922,5.6717376708984375,1,-1.2202796936035156
2020-01-07,4.40256250000005,6.985356550580467,1,-2.582794050580417
2020-01-08,3.4435524940490723,4.069965362548828,1,-0.6264128684997559
2020-01-09,3.6151394844055176,4.1491265296936035,1,-0.5339870452880859
2020-01-10,4.718867657472799,4.187016752331506,1,0.531850905141293
2020-01-11,7.496746183206131,7.195277108433763,1,0.30146907477236784
2020-01-12,10.01628394432429,10.238677373667198,1,-0.22239342934290818
2020-01-13,12.790376947754382,13.089050213305695,1,-0.29867326555131335
2020-01-14,10.42701017811708,10.759394148020686,1,-0.3323839699036064
2020-01-15,4.1757986489209,3.780188928907664,1,0.3956097200132356
2020-01-16,3.581145038167971,3.7178691910499424,1,-0.1367241528819716
2020-01-17,9.79080470737916,10.7043063683305,1,-0.91350166095134
2020-01-18,12.012258269720132,13.19811359724616,1,-1.1858553275260277
2020-01-19,12.912166030534376,14.242891566265094,1,-1.3307255357307177
2020-01-20,10.713613231552191,11.755146299483677,1,-1.0415330679314856
2020-01-21,12.264755089058548,13.665383820998304,1,-1.4006287319397561
2020-01-22,14.79779450615215,15.449728872436944,1,-0.6519343662847952
2020-01-23,14.399618320610712,15.858217620688428,1,-1.4585993000777169
2020-01-24,10.527709923664148,10.745510371231685,1,-0.21780044756753725
2020-01-25,9.03988396056212,9.572176658735778,1,-0.5322926981736575
2020-01-26,14.028200782268623,11.655322128851571,1,2.372878653417052
2020-01-27,9.773402976784723,10.551277108433766,1,-0.7778741316490425
2020-01-28,9.499054224464096,6.436550098316459,1,3.062504126147637
2020-01-29,5.503715012722676,5.610174813390106,1,-0.10645980066743022
2020-01-30,5.055743797686679,5.208471250050166,1,-0.15272745236348673
2020-01-31,9.63431714023834,9.753139913232127,1,-0.11882277299378785
2020-02-01,11.74478371501275,12.449979345955285,2,-0.7051956309425353
2020-02-02,5.951835241730309,6.0186953528399645,2,-0.06686011110965584
2020-02-03,11.168298346056003,11.455607573149774,2,-0.28730922709377005
2020-02-04,5.285262615859979,4.90752479924425,2,0.37773781661572947
2020-02-05,3.7329145991329713,3.488144568780398,2,0.24477003035257328
2020-02-06,5.414795875549316,5.013435363769531,2,0.40136051177978516
2020-02-07,6.280076335877887,6.802936316695384,2,-0.522859980817497
2020-02-08,8.742528625954225,9.916956970740136,2,-1.1744283447859107
2020-02-09,11.933405135076642,12.324722997078664,2,-0.39131786200202257
2020-02-10,11.792111959287563,12.462296041308122,2,-0.6701840820205582
2020-02-11,14.833165351604178,15.452276736946471,2,-0.6191113853422934
2020-02-12,11.174856158602438,10.651948372896475,2,0.5229077857059625
2020-02-13,6.162282151646577,6.003328932454584,2,0.1589532191919929
2020-02-14,4.753616203178392,4.374593151417071,2,0.37902305176132156
2020-02-15,9.725279898218858,9.762371772805537,2,-0.03709187458667884
2020-02-16,10.374478371501308,10.009253012048225,2,0.365225359453083
2020-02-17,0.944099783080297,4.128764302059531,2,-3.1846645189792335
2020-02-18,5.0548884771337415,5.259955249569737,2,-0.20506677243599558
2020-02-19,9.163753180661605,9.030046746333618,2,0.133706434327987
2020-02-20,6.021132315521656,6.690137693631701,2,-0.6690053781100458
2020-02-21,9.426319974554731,10.209817555938066,2,-0.7834975813833349
2020-02-22,8.634834605597995,9.82554216867473,2,-1.1907075630767352
2020-02-23,11.104809160305372,12.354991394148051,2,-1.2501822338426791
2020-02-24,5.981157556270113,4.553827433628356,2,1.4273301226417567
2020-02-25,4.572244864878764,4.2895712920672615,2,0.2826735728115022
2020-02-26,7.725217057933856,8.296507698530906,2,-0.5712906405970504
2020-02-27,10.647840330788831,11.064076094798388,2,-0.4162357640095564
2020-02-28,12.032454564811466,12.19503871741176,2,-0.16258415260029402
2020-02-29,9.562155000820844,11.340292889705577,2,-1.7781378888847321
2020-03-01,13.459745547073824,15.550361445783167,3,-2.090615898709343
2020-03-02,12.673762722646334,14.152547332185918,3,-1.4787846095395842
2020-03-03,10.76269720101784,12.321297762478512,3,-1.558600561460672
2020-03-04,10.76473930920366,11.579501234016696,3,-0.8147619248130358
2020-03-05,10.276033363532132,12.231343745792408,3,-1.9553103822602758
2020-03-06,10.859962711818564,11.628327016254277,3,-0.7683643044357122
2020-03-07,8.900184978041544,9.734931875688352,3,-0.8347468976468075
2020-03-08,7.256019621660173,7.1958791904926205,3,0.060140431167552855
2020-03-09,5.1085411285134645,6.460425232084445,3,-1.3518841035709803
2020-03-10,9.02109096692115,10.972753872633422,3,-1.951662905712272
2020-03-11,10.255767693924184,10.334035926022594,3,-0.07826823209840938
2020-03-12,7.020059960026685,7.193881481481511,3,-0.1738215214548262
2020-03-13,10.832306425041208,10.445709001233066,3,0.38659742380814244
2020-03-14,4.089915682806383,3.880574674648865,3,0.20934100815751844
2020-03-15,5.115464376590355,6.061184165232387,3,-0.9457197886420321
2020-03-16,6.839459287531845,7.88077452667817,3,-1.041315239146325
2020-03-17,6.499347577478604,6.798162559130265,3,-0.2988149816516614
2020-03-18,5.925658396946591,7.2311600688468465,3,-1.305501671900256
2020-03-19,6.049325699745576,7.256113597246157,3,-1.2067878975005808
2020-03-20,4.739197983501403,6.189658351410005,3,-1.4504603679086019
