fecha,especie,LST_Day,LST_Night,LST,mes
2020-01-01,estepa,35.43345256259358,12.923965918628383,24.17870924061098,1
2020-01-01,pino,33.666373870657594,14.703903956485313,24.185138913571453,1
2020-01-02,estepa,36.19587150127229,12.885076335877892,24.540473918575092,1
2020-01-02,pino,31.342839931153218,13.202791738382128,22.272815834767673,1
2020-01-03,estepa,35.245772900763384,12.97309796437662,24.109435432570002,1
2020-01-03,pino,31.28417211703962,13.577899964911142,22.431036040975382,1
2020-01-04,estepa,38.821326335877885,12.445712468193411,25.63351940203565,1
2020-01-04,pino,31.45030292598971,12.293339645837907,21.87182128591381,1
2020-01-05,pino,17.944593301435443,7.932499139414831,12.938546220425136,1
2020-01-07,estepa,25.590980392156894,4.40256250000005,14.996771446078473,1
2020-01-07,pino,19.52303886925799,6.985356550580467,13.254197709919229,1
2020-01-10,estepa,27.450966779913777,4.718867657472799,16.08491721869329,1
2020-01-10,pino,22.47211425740246,4.187016752331506,13.329565504866983,1
2020-01-11,estepa,36.20599554707381,7.496746183206131,21.85137086513997,1
2020-01-11,pino,28.634072289156666,7.195277108433763,17.914674698795213,1
2020-01-12,estepa,35.113287813822254,10.01628394432429,22.56478587907327,1
2020-01-12,pino,30.692833046471627,10.238677373667198,20.46575521006941,1
2020-01-13,estepa,37.25272774353762,12.790376947754382,25.021552345646,1
2020-01-13,pino,31.058509466437208,13.089050213305695,22.073779839871452,1
2020-01-14,estepa,24.941010512185905,10.42701017811708,17.684010345151492,1
2020-01-14,pino,18.946785263965815,10.759394148020686,14.85308970599325,1
2020-01-15,estepa,30.15305661577611,4.1757986489209,17.164427632348506,1
2020-01-15,pino,22.445557699235515,3.780188928907664,13.112873314071589,1
2020-01-16,estepa,34.67206106870232,3.581145038167971,19.126603053435144,1
2020-01-16,pino,28.224526678141164,3.7178691910499424,15.971197934595553,1
2020-01-17,estepa,38.04542620865143,9.79080470737916,23.918115458015293,1
2020-01-17,pino,31.89216867469883,10.7043063683305,21.298237521514665,1
2020-01-18,estepa,42.92362913486008,12.012258269720132,27.467943702290107,1
2020-01-18,pino,35.591449225473355,13.19811359724616,24.39478141135976,1
2020-01-19,estepa,39.38493638676848,12.912166030534376,26.148551208651426,1
2020-01-19,pino,34.475407917383855,14.242891566265094,24.359149741824474,1
2020-01-20,estepa,43.21802162849875,10.713613231552191,26.965817430025467,1
2020-01-20,pino,35.30970740103274,11.755146299483677,23.532426850258208,1
2020-01-21,estepa,38.650352212195926,12.264755089058548,25.457553650627236,1
2020-01-21,pino,34.42124382343778,13.665383820998304,24.04331382221804,1
2020-01-22,estepa,44.52744274809163,14.79779450615215,29.66261862712189,1
2020-01-22,pino,37.18921514629952,15.449728872436944,26.31947200936823,1
2020-01-23,estepa,36.032315093267954,14.399618320610712,25.215966706939334,1
2020-01-23,pino,30.84489480357619,15.858217620688428,23.35155621213231,1
2020-01-24,estepa,36.4262546137095,10.527709923664148,23.476982268686825,1
2020-01-24,pino,30.6421169286903,10.745510371231685,20.693813649960994,1
2020-01-25,estepa,36.45981431881086,9.03988396056212,22.74984913968649,1
2020-01-25,pino,30.4431759835482,9.572176658735778,20.00767632114199,1
2020-01-26,estepa,38.539103169251554,14.028200782268623,26.283651975760087,1
2020-01-26,pino,32.08339759036148,11.655322128851571,21.869359859606526,1
2020-01-27,estepa,37.093479885718004,9.773402976784723,23.433441431251364,1
2020-01-27,pino,30.000627168730734,10.551277108433766,20.275952138582248,1
2020-01-28,estepa,25.745909090909123,9.499054224464096,17.62248165768661,1
2020-01-28,pino,20.376849492211768,6.436550098316459,13.406699795264114,1
2020-01-29,estepa,35.014601766152204,5.503715012722676,20.259158389437438,1
2020-01-29,pino,26.30950909972998,5.610174813390106,15.959841956560043,1
2020-01-30,estepa,33.227838007244124,5.055743797686679,19.141790902465402,1
2020-01-30,pino,29.604850849748452,5.208471250050166,17.40666104989931,1
2020-01-31,estepa,34.92789552924813,9.634317140238341,22.281106334743235,1
2020-01-31,pino,28.584500037497293,9.753139913232129,19.168819975364713,1
2020-02-01,estepa,27.965063145809435,11.74478371501275,19.85492343041109,2
2020-02-01,pino,23.04451169699223,12.449979345955285,17.747245521473758,2
2020-02-02,estepa,34.44838680109993,5.951835241730309,20.20011102141512,2
2020-02-02,pino,29.464137744034737,6.0186953528399645,17.74141654843735,2
2020-02-03,estepa,31.900691410503295,11.168298346056003,21.53449487827965,2
2020-02-03,pino,27.54068329718007,11.455607573149774,19.498145435164922,2
2020-02-04,estepa,22.706000000000028,5.285262615859979,13.995631307930005,2
2020-02-04,pino,19.44520998864929,4.90752479924425,12.17636739394677,2
2020-02-05,estepa,32.46085406995657,3.7329145991329713,18.096884334544768,2
2020-02-05,pino,24.999598323487362,3.488144568780398,14.24387144613388,2
2020-02-07,estepa,37.11686704834608,6.280076335877887,21.698471692111983,2
2020-02-07,pino,28.256247848537026,6.802936316695384,17.529592082616205,2
2020-02-08,estepa,36.92548885644309,8.742528625954225,22.83400874119866,2
2020-02-08,pino,29.062937908346278,9.916956970740136,19.489947439543208,2
2020-02-09,estepa,34.97711694226071,11.933405135076642,23.455261038668674,2
2020-02-09,pino,28.404626579091556,12.324722997078663,20.36467478808511,2
2020-02-10,estepa,39.23269270959371,11.792111959287563,25.512402334440637,2
2020-02-10,pino,29.86986857391591,12.462296041308122,21.166082307612015,2
2020-02-11,estepa,32.634548205453285,14.833165351604178,23.733856778528732,2
2020-02-11,pino,29.816040400984722,15.452276736946471,22.634158568965596,2
